Region,Year,Type,Count
East County,2017,sheltered,-0.216123162
North County,2017,sheltered,-0.621849194
Northeast County,2017,sheltered,-0.62391571
Seattle,2017,sheltered,2.354623103
Southeast County,2017,sheltered,-0.650091583
Southwest County,2017,sheltered,-0.025314825
East County,2018,sheltered,-0.232655292
North County,2018,sheltered,-0.522656412
Northeast County,2018,sheltered,-0.641136679
Seattle,2018,sheltered,2.084598308
Southeast County,2018,sheltered,-0.647336228
Southwest County,2018,sheltered,-0.075600054
East County,2019,sheltered,-0.27880749
North County,2019,sheltered,-0.538499703
Northeast County,2019,sheltered,-0.646647389
Seattle,2019,sheltered,2.249230773
Southeast County,2019,sheltered,-0.632181775
Southwest County,2019,sheltered,-0.064578634
East County,2020,sheltered,-0.267097231
North County,2020,sheltered,-0.530233638
Northeast County,2020,sheltered,-0.628737581
Seattle,2020,sheltered,2.379421299
Southeast County,2020,sheltered,-0.621160355
Southwest County,2020,sheltered,-0.104531282
East County,2017,unsheltered,-0.45101718
North County,2017,unsheltered,-0.634248292
Northeast County,2017,unsheltered,-0.588784933
Seattle,2017,unsheltered,1.986094365
Southeast County,2017,unsheltered,-0.622538033
Southwest County,2017,unsheltered,0.088343571
East County,2018,unsheltered,-0.400043112
North County,2018,unsheltered,-0.497858216
Northeast County,2018,unsheltered,-0.576385835
Seattle,2018,unsheltered,2.420751625
Southeast County,2018,unsheltered,-0.617716161
Southwest County,2018,unsheltered,0.00017221
East County,2019,unsheltered,-0.438618083
North County,2019,unsheltered,-0.612205451
Northeast County,2019,unsheltered,-0.602561708
Seattle,2019,unsheltered,1.780131575
Southeast County,2019,unsheltered,-0.625982226
Southwest County,2019,unsheltered,0.075944474
East County,2020,unsheltered,-0.363534657
North County,2020,unsheltered,-0.632181775
Northeast County,2020,unsheltered,-0.555720672
Seattle,2020,unsheltered,1.904122552
Southeast County,2020,unsheltered,-0.632181775
Southwest County,2020,unsheltered,0.097298475
